brand,url,name,price,image,dimensions,weight,os,generation,screenSize,resolution,touchScreen,backlitKeyboard,internalMemory,ram,graphicsCard,processorType,processorSpeed,battery,BT,wifi,USB,camera,fingerPrintReader
hp,"https://priceoye.pk/laptops/hp/hp-dw3024nia-15-6-inches-core-i3-4gb-ram-256gb-ssd
","hp dw3024nia 15 6 inches core i3 4gb ram 256gb ssd
","Rs  87,000",https://images.priceoye.pk/hp-dw3024nia-15-7-inches-core-i3-4-gb-ram-256-gb-ssd-pakistan-priceoye-kb38u-500x500.webp,N/A,1.75 KG,DOS,11th Generation,15.6 Inches,1366x768,No,Yes,256GB SSD,04 GB,Intel Iris X Graphics,Intel Core i3,1.7 GHz Up to 4.1 GHz (2 Cores - 4 Threads),N/A,Bluetooth 4.2 combo,802.11a/b/g/n/ac (1x1) Wi-Fi,3 Ports,No,HP True Vision 720p HD camera with integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-ef2126wm-15-6-inches-amd-ryzen-5-8gb-ram-256gb-ssd
","hp ef2126wm 15 6 inches amd ryzen 5 8gb ram 256gb ssd
","Rs  106,999",https://images.priceoye.pk/hp-ef2126wm-15-6-inches-amd-ryzen-5-8gb-ram-256gb-ssd-pakistan-priceoye-e4jan-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,Genuine Windows 10 Home,AMD,15.6 Inches,1920x1080,No,Yes,256GB SSD,8 GB,AMD Radeon Graphics Integrated,AMD Ryzen 5 5500U,"2.1 GHz up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads)","3-cell, 41 Wh Li-ion",Bluetooth® 4.2 combo,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,3 Ports,No,HP True Vision 720p HD camera with integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-elitebook-folio-x360-13-3-inches-core-i7-16gb-ram-256gb-ssd
","hp elitebook folio x360 13 3 inches core i7 16gb ram 256gb ssd
","Rs  162,000",https://images.priceoye.pk/hp-elitebook-folio-x360-13-3-inches-core-i7-16gb-ram-256gb-ssd-pakistan-priceoye-q8v53-500x500.webp,N/A,Starting at 2.76 lb,DOS,08th Generation,13.3 Inches,1920x1080,Yes,Yes,256GB SSD,16 GB,Intel® UHD Graphics 620,Intel Core i7,1.8 GHz Turbo Boost 4.0 (8 MB Cache),N/A,Yes,802.11a/b/g/n/ac (2x2) Wi-Fi,2 Ports,Yes,Yes
hp,"https://priceoye.pk/laptops/hp/hp-zbook-studio-g5-mobile-workstation-15-6-inches-core-i7-8gb-ram-256gb-ssd
","hp zbook studio g5 mobile workstation 15 6 inches core i7 8gb ram 256gb ssd
","Rs  162,000",https://images.priceoye.pk/hp-zbook-studio-g5-mobile-workstation-15-6-inches-core-i7-8gb-ram-256gb-ssd-pakistan-priceoye-p0lrq-500x500.webp,359.9 x 245.1 x 18.8 mm,1.99 kg,DOS,08th Generation,15.6 Inches,1920x1080,No,Yes,256GB SSD,8 GB,Integrated Intel UHD Graphics 630 and Dedicated NVIDIA Quadro P1000 with 4GB GDDR5,Intel Core i7,2.2 GHz Turbo Boost 4.1 (9 MB Cache),HP Long Life 4-cell prismatic battery (64 WHr),Bluetooth 5.0,802.11a/b/g/n/ac (2x2) Wi-Fi,2 Ports,Yes,Yes
hp,"https://priceoye.pk/laptops/hp/hp-spectre-x360-aw0239tu-13-3-inches-core-i7-16gb-ram-512gb-ssd
","hp spectre x360 aw0239tu 13 3 inches core i7 16gb ram 512gb ssd
","Rs  193,000",https://images.priceoye.pk/hp-spectre-x360-aw0239tu-13-3-inches-core-i7-16gb-ram-512gb-ssd-pakistan-priceoye-qlke3-500x500.webp,N/A,Starting at 1.27 kg,Genuine Windows 10 Home,10th Generation,13.3 Inches,1920x1080,Yes,Yes,512GB SSD,16 GB,Intel Iris Plus Graphics Integrated,Intel Core i7,1.3 GHz Turbo Boost 3.9 GHz (8 MB Cache),N/A,Bluetooth® 5 Combo,Intel® Wi-Fi 6 AX 201 (2x2),3 Ports,Biometric Fingerprint Reader,HP TrueVision HD IR Camera
hp,"https://priceoye.pk/laptops/hp/hp-zbook-9750h-15-6-inches-core-i7-16gb-ram-512gb-ssd
","hp zbook 9750h 15 6 inches core i7 16gb ram 512gb ssd
","Rs  220,000",https://images.priceoye.pk/hp-zbook-9750h-15-6-inches-core-i7-16gb-ram-512gb-ssd-pakistan-priceoye-u3iej-500x500.webp,375.9 x 264.16 x 25.4 mm ,2.6 kg,DOS,9th Generation,15.6 Inches  ,1920x1080,No,Yes,512GB SSD,16 GB,NVIDIA Quadro T1000 With 4 GB dedicated GDDR5 video memory,Intel Core i7,2.6 GHz Turbo Boost 4.5 GHz (12 MB Smart Cache),N/A,Yes,802.11,3 Ports,Yes,No
hp,"https://priceoye.pk/laptops/hp/hp-pavilion-eh1070wm-15-6-inches-amd-ryzen-7-8gb-ram-512gb-ssd
","hp pavilion eh1070wm 15 6 inches amd ryzen 7 8gb ram 512gb ssd
","Rs  140,000",https://images.priceoye.pk/hp-pavilion-eh1070wm-15-6-inches-amd-ryzen-7-8gb-ram-512gb-ssd-pakistan-priceoye-0phsk-500x500.webp,36.02 x 23.4 x 1.79 cm,1.75 kg,Genuine Windows 10 Home,AMD,15.6 Inches,1920x1080,No,No,512GB SSD,8 GB,AMD Shared Graphics,AMD Ryzen 7 5700U,2.0 GHz Max. Boost Clock Up to 4.1GHz,"3-cell, 41 Wh Li-ion",Bluetooth® 5 combo,Intel® Wi-Fi 6 AX200 (2x2),3 Ports,No,HP Wide Vision 720p HD camera 
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-15-6-inches-core-i5-8gb-ram-512gb-hdd
","lenovo thinkpad e15 15 6 inches core i5 8gb ram 512gb hdd
","Rs  153,000",https://images.priceoye.pk/lenovo-thinkpad-e15-15-6-inches-core-i5-8gb-ram-512gb-hdd-pakistan-priceoye-bx4wg-500x500.webp,18.9mm x 365mm x 240mm ,1.70kg / 3.74lbs,DOS,11th Generation,15.6 Inches,1920 x 1080 ,No,Yes,512 GB,8 GB,Intel Iris Xe Graphics,Intel Core i5,1.6 GHz Turbo Boost 4.2 GHz ,"Up to 8.4 hours (MM18), 45Wh",Bluetooth® 5.0,Intel Wi-Fi 6 AX201 2x2ax,4 Ports,No,720p HD with webcam privacy cover
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-flex-5-amd-ryzen-7-16gb-ram-512gb-ssd
","lenovo ideapad flex 5 amd ryzen 7 16gb ram 512gb ssd
","Rs  178,000",https://images.priceoye.pk/lenovo-ideapad-flex-5-pakistan-priceoye-gmghd-500x500.webp,N/A,1.8kg,Genuine Windows 10 Home,AMD,15.6 Inches,1920 x 1080,Yes,Yes,512GB SSD,16 GB,Integrated AMD Radeon™ Graphics,AMD Ryzen R7 5700U,2.0 GHz Max. Boost Clock Up to 4.1GHz ,N/A,Bluetooth 5.0,WiFi 6 (802.11ax 2 x 2),2 Ports,No,Slim camera 720p with fixed-focus CMOS
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-flex-5-14-inches-core-i5-16gb-ram-512gb-ssd
","lenovo flex 5 14 inches core i5 16gb ram 512gb ssd
","Rs  188,500",https://images.priceoye.pk/lenovo-flex-5-14-inches-core-i5-16gb-ram-512gb-ssd-pakistan-priceoye-a284k-500x500.webp,321.5mm x 217.5mm x 17.9,3.3 lbs (1.49 kg),Genuine Windows 10 Home,11th Generation,14 Inches,1920 x 1080 ,Yes,Yes,512 GB SSD,16 GB,2-GB NVIDIA GeForce MX330 GDDR6,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz,N/A,Yes,2x2 802.11AX,2 Ports,720P Webcam with Privacy Shutter,720P Webcam with Privacy Shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e14-14-inches-core-i7-8gb-ram-512gb-ssd
","lenovo thinkpad e14 14 inches core i7 8gb ram 512gb ssd
","Rs  194,999",https://images.priceoye.pk/lenovo-thinkpad-e14-14-inches-core-i7-8gb-ram-512gb-ssd-pakistan-priceoye-x82ob-500x500.webp,N/A,1.59 KG,DOS,11th Generation,14 Inches,1920 x1080,No,Yes,512GB SSD,8 GB,NVIDIA® MX450 with 2GB GDDR5C,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz,N/A,Bluetooth 5.1,Intel® Wi-Fi 6 AX201 802.11AX (2 x 2),2 Ports,No,720p HD
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-15-6-inches-core-i7-8gb-ram-512gb-ssd
","lenovo thinkpad e15 15 6 inches core i7 8gb ram 512gb ssd
","Rs  194,999",https://images.priceoye.pk/lenovo-thinkpad-e15-15-6-inches-core-i7-8gb-ram-512gb-ssd-pakistan-priceoye-kgvpz-500x500.webp,18.9mm x 365mm x 240mm,1.70kg / 3.74lbs,DOS,11th Generation,15.6 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB ,NVIDIA® MX450 with 2GB GDDR5C,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz ,"Up to 8.4 hours (MM18), 45Wh",Bluetooth® 5.0,Intel Wi-Fi 6 AX201 2x2ax,4 Ports,No,720p HD with webcam privacy cover
apple,"https://priceoye.pk/laptops/apple/apple-macbook-air-13-6-inches
","apple macbook air 13 6 inches
","Rs  294,990",https://images.priceoye.pk/apple-macbook-air-13-6-inches-pakistan-priceoye-k0xsr-500x500.webp,0.44 by 11.97 by 8.46 inches,2.7 lbs,macOS,M2,13.6 inches,2560 x 1664,No,Yes,256 GB SSD,8 GB,N/A,Apple M2 8-core GPU,N/A,52.6-watt‑hour lithium‑polymer battery.,Yes,Yes,Yes,Yes,1080p FaceTime HD camera
asus,"https://priceoye.pk/laptops/asus/asus-vivo
","asus vivo
","Rs  94,900",https://images.priceoye.pk/asus-vivo-pakistan-priceoye-fp9ac-500x500.webp,35.90 x 23.50 x 1.79 ~ 1.79 cm,1.80 kg,Genuine Windows 10 Home,11th Generation,15.6 inches,1920 x 1080,No,Backlit Chiclet Keyboard with Num-key,512 GB SSD,4GB,Intel® UHD Graphics,Intel Core i3,1.7 GHz Up to 4.1 GHz,"42WHrs, 3S1P, 3-cell Li-ion",Yes,Yes,1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 2.0 Type-A,Yes,720p HD camera
asus,"https://priceoye.pk/laptops/asus/asus-rog-zephyrus-g15-ga503qr-gaming-laptop-amd-ryzen-9-5900hs-octa-core-processor-16gb-1-tb-ssd
","asus rog zephyrus g15 ga503qr gaming laptop amd ryzen 9 5900hs octa core processor 16gb 1 tb ssd
","Rs  399,900",https://images.priceoye.pk/asus-rog-zephyrus-g15-ga503qr-gaming-laptop-amd-ryzen-9-5900hs-octa-core-processor-16gb-1-tb-ssd-pakistan-priceoye-kk77x-500x500.webp,35.5 x 24.3 x 1.99 ~ 1.99 cm,1.9 kg,Genuine Windows 10 Home,AMD,15.6 inches,2560 x 1440,No,One-zone RGB Keyboard Backlight,1TB SSD,16GB,NVIDIA® GeForce RTX™ 3070 Laptop GPU With ROG Boost up to 1390MHz at 80W (100W with Dynamic Boost) 8GB GDDR6,AMD Ryzen 9 5900HS,3.0 GHz Up to 4.6 GHz max boost,"90WHrs, 4S1P, 4-cell Li-ion",v5.1,WiFi 6 - 802.11 ax,2x USB 3.2 Gen 2 Type-A 2x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC,No,No
asus,"https://priceoye.pk/laptops/asus/asus-vivobook-k513ep-15-6-inches-11th-gen-core-i5-8gb-ram-512gb-ssd
","asus vivobook k513ep 15 6 inches 11th gen core i5 8gb ram 512gb ssd
","Rs  172,806",https://images.priceoye.pk/asus-vivobook-k513-15-6-inches-core-i5-8gb-ram-512gb-ssd-pakistan-priceoye-umw9r-500x500.webp,327 × 224.75 × 17.6 cm,3.3 lbs,Windows 10 Home,11th Generation,15.6 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Nvidia Graphics,Intel Core i5,2.4 GHz,"3-cell Li-ion, 42WHrs",Yes,Yes,3 ports,Yes,Yes
